
2025/05/25 (21:43:09) | ===> btop++ v.1.4.0
2025/05/25 (21:43:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/25 (21:43:17) | WARNING: Failed to join _runner thread on exit!

2025/05/25 (21:43:21) | ===> btop++ v.1.4.0
2025/05/25 (21:43:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/25 (21:43:36) | WARNING: Failed to join _runner thread on exit!

2025/05/25 (21:55:46) | ===> btop++ v.1.4.0
2025/05/25 (21:55:46) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/25 (21:56:01) | WARNING: Failed to join _runner thread on exit!

2025/05/26 (15:35:33) | ===> btop++ v.1.4.0
2025/05/26 (15:35:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/26 (15:35:43) | WARNING: Failed to join _runner thread on exit!

2025/05/26 (16:23:21) | ===> btop++ v.1.4.0
2025/05/26 (16:23:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/26 (16:23:27) | WARNING: Failed to join _runner thread on exit!

2025/05/26 (16:23:29) | ===> btop++ v.1.4.0
2025/05/26 (16:23:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/26 (16:23:30) | WARNING: Failed to join _runner thread on exit!

2025/05/26 (16:27:03) | ===> btop++ v.1.4.0
2025/05/26 (16:27:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/26 (16:27:10) | WARNING: Failed to join _runner thread on exit!

2025/05/26 (17:11:00) | ===> btop++ v.1.4.0
2025/05/26 (17:11:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/26 (17:11:09) | WARNING: Failed to join _runner thread on exit!

2025/05/26 (19:55:58) | ===> btop++ v.1.4.0
2025/05/26 (19:55:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/26 (20:01:47) | WARNING: Failed to join _runner thread on exit!

2025/05/26 (20:36:00) | ===> btop++ v.1.4.0
2025/05/26 (20:36:00) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/26 (20:36:15) | WARNING: Failed to join _runner thread on exit!

2025/05/26 (20:38:51) | ===> btop++ v.1.4.0
2025/05/26 (20:38:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/26 (20:39:11) | WARNING: Failed to join _runner thread on exit!

2025/05/26 (22:00:03) | ===> btop++ v.1.4.0
